userFollowerCount,userFollowingCount,userBiographyLength,userMediaCount,userHasProfilPic,userIsPrivate,usernameDigitCount,usernameLength,Isfake
14,3086,0,1,1,0,0,11,Yes
4,883,0,0,1,0,1,7,Yes
11,1898,37,0,1,1,2,9,Yes
3208,1911,0,0,0,0,5,15,Yes
0,2513,0,1,1,1,0,13,Yes
124,1411,85,0,1,1,0,13,Yes
441,2772,0,0,0,1,2,9,Yes
10,1768,0,0,0,0,4,14,Yes
14,1229,0,4,0,1,0,14,Yes
16,2473,0,0,0,0,0,13,Yes
22,2666,0,0,0,1,2,9,Yes
24,2503,0,1,1,0,4,9,Yes
32,2471,0,0,0,0,3,13,Yes
102,332,0,0,0,0,1,7,Yes
53,620,4,1,1,1,0,8,Yes
9,1770,0,0,0,0,0,8,Yes
12,2319,0,0,0,0,3,10,Yes
7,2116,0,0,0,0,2,12,Yes
52,2479,0,0,1,0,0,14,Yes
14,1803,0,0,1,0,0,11,Yes
22,1330,0,0,1,0,3,10,Yes
4,1546,0,0,0,0,0,11,Yes
58,2132,0,0,0,0,0,14,Yes
8,2039,0,0,1,0,4,11,Yes
22,4006,0,0,0,0,0,8,Yes
15,3949,0,0,0,0,2,13,Yes
26,3400,0,0,0,0,2,8,Yes
32,3921,70,0,1,0,2,11,Yes
34,7158,0,0,0,0,1,10,Yes
47,3999,129,0,1,1,0,12,Yes
162,171,0,1,0,1,0,15,Yes
643,2240,0,2,1,0,1,11,Yes
147,2387,0,0,1,0,2,10,Yes
35,4621,0,0,0,0,4,17,Yes
11,4677,0,0,0,0,3,8,Yes
52,4614,0,0,1,0,0,14,Yes
33,5133,0,2,1,0,8,13,Yes
29,5105,0,0,0,0,5,18,Yes
6,961,0,0,1,0,5,8,Yes
64,190,70,3,1,0,0,16,Yes
18,1741,0,0,0,0,0,11,Yes
163,6747,0,3,1,0,0,10,Yes
6,181,0,1,1,0,3,15,Yes
17,1299,0,1,1,0,0,18,Yes
16,266,0,0,0,0,2,14,Yes
153,1195,9,0,1,0,0,9,Yes
38,1678,0,0,0,0,5,19,Yes
959,2107,0,3,1,0,0,8,Yes
109,1722,0,8,1,1,5,11,Yes
129,1796,0,5,1,1,0,8,Yes
35,2553,0,1,1,0,0,21,Yes
6,866,0,2,0,1,0,10,Yes
19,4046,0,1,1,0,5,19,Yes
34,938,110,3,1,0,0,15,Yes
494,3853,0,1,1,0,4,18,Yes
30,940,24,3,1,0,0,10,Yes
26,1392,85,3,1,0,1,13,Yes
5,16,0,0,0,1,0,9,Yes
160,2246,0,1,1,0,3,10,Yes
48,179,0,4,1,0,0,8,Yes
55,776,6,1,1,0,0,11,Yes
11,159,0,1,0,0,3,14,Yes
185,1928,74,3,1,0,0,12,Yes
11,2258,0,3,1,0,0,18,Yes
29,1857,19,1,1,0,3,8,Yes
39,481,14,2,1,0,0,19,Yes
71,31,57,3,1,0,1,11,Yes
3,151,0,0,0,1,0,16,Yes
1,1807,0,0,0,1,2,12,Yes
3,76,0,0,1,1,2,12,Yes
11,76,0,0,0,0,2,13,Yes
1,67,0,0,0,1,0,8,Yes
29,41,0,0,0,1,0,9,Yes
0,3,0,0,0,0,3,10,Yes
13,114,0,0,0,0,4,9,Yes
17,183,0,0,0,1,1,10,Yes
24,696,0,0,0,1,0,9,Yes
3,157,0,0,0,1,4,9,Yes
0,54,0,0,0,1,0,11,Yes
11,344,24,0,0,1,4,9,Yes
1,282,0,0,0,1,0,15,Yes
0,577,0,0,0,1,0,14,Yes
0,434,0,0,0,1,0,12,Yes
2,57,0,0,0,0,2,10,Yes
26,142,0,0,0,0,0,9,Yes
49,111,0,0,0,1,5,10,Yes
1,127,0,0,1,1,0,10,Yes
16,486,0,0,1,1,0,13,Yes
25,322,0,0,1,0,0,8,Yes
0,194,0,0,1,1,0,9,Yes
0,174,14,0,1,1,1,9,Yes
0,524,0,0,1,1,0,6,Yes
5,460,0,1,1,1,1,7,Yes
0,753,0,9,1,1,0,13,Yes
0,140,0,0,1,1,2,7,Yes
301,7493,0,0,1,1,4,10,Yes
368,6929,0,2,1,0,0,7,Yes
80,4839,10,5,1,0,0,8,Yes
28,4518,0,1,1,0,2,6,Yes
223,1735,0,6,1,0,2,9,Yes
140,1104,0,3,1,0,0,15,Yes
85,1401,130,9,1,0,3,16,Yes
32,2184,35,2,1,0,2,18,Yes
34,3681,36,1,1,0,0,9,Yes
14,2429,0,1,1,0,0,16,Yes
11,1008,12,1,1,0,0,12,Yes
228,4956,50,1,1,1,3,9,Yes
133,145,0,4,1,0,0,15,Yes
407,3792,0,1,1,0,3,9,Yes
64,359,0,6,1,0,0,7,Yes
288,4276,0,1,1,0,5,9,Yes
307,4887,3,3,1,0,0,22,Yes
88,266,0,1,1,0,0,9,Yes
145,2291,0,1,0,0,7,15,Yes
34,219,0,2,0,0,0,20,Yes
165,618,0,0,1,0,0,8,Yes
165,752,0,0,0,1,3,8,Yes
151,1975,0,0,0,1,4,9,Yes
12,25,0,0,0,0,0,9,Yes
1338,3364,0,0,0,1,0,10,Yes
401,3796,0,0,0,0,3,10,Yes
228,1779,0,0,0,0,10,11,Yes
1127,3758,0,3,1,1,6,9,Yes
0,0,0,0,0,0,4,10,Yes
1,0,90,9,1,0,1,19,Yes
1,1,59,7,1,0,4,15,Yes
0,25,138,6,1,0,0,10,Yes
0,0,52,6,1,0,3,7,Yes
0,1,92,9,1,0,1,15,Yes
1,0,60,5,1,0,1,13,Yes
0,0,108,6,1,0,2,10,Yes
258,238,0,0,1,0,0,10,No
263,482,30,29,1,1,0,8,No
51,78,9,0,1,1,0,10,No
297,480,22,25,1,1,2,9,No
113,242,0,95,1,1,0,10,No
545,995,26,340,1,1,0,8,No
52,121,0,30,1,1,0,9,No
1038,6640,0,156,1,0,0,12,No
172,227,51,10,1,0,0,10,No
101,114,14,4,1,1,0,15,No
250,247,31,4,1,0,0,7,No
413,677,0,38,1,1,0,15,No
172,187,1,7,1,1,0,10,No
337,455,0,2,1,1,0,14,No
114,155,29,8,1,1,2,12,No
174,165,0,76,1,1,1,9,No
372,362,36,13,1,1,0,7,No
338,330,41,17,1,0,0,12,No
2207,593,47,198,1,0,0,15,No
449,410,19,19,1,1,0,8,No
594,863,105,276,1,1,0,9,No
679,764,23,39,1,1,0,11,No
569,539,41,95,1,1,0,11,No
540,543,0,73,1,1,0,12,No
441,368,25,30,1,1,0,8,No
570,455,37,120,1,1,0,10,No
368,1114,16,69,1,0,0,8,No
634,648,59,21,1,0,0,9,No
687,539,18,78,1,0,0,9,No
579,413,36,221,1,0,0,11,No
752,726,0,312,1,1,0,12,No
861,686,0,323,1,0,0,9,No
535,368,122,49,1,1,0,18,No
1872,1806,39,374,1,1,0,11,No
257,149,33,39,1,0,0,7,No
3140,496,63,807,1,1,0,5,No
491,745,0,373,1,1,3,16,No
434,528,23,93,1,1,0,9,No
1073,837,0,49,1,1,0,14,No
1532,1431,57,313,1,1,0,11,No
737,875,87,53,1,0,0,10,No
335,353,26,2,1,1,0,14,No
399,364,47,9,1,1,0,16,No
310,330,0,0,1,1,1,5,No
392,379,21,8,1,0,0,13,No
163,186,0,0,1,1,0,8,No
642,707,8,10,1,1,0,12,No
594,800,28,21,1,1,0,12,No
295,302,11,2,1,1,0,11,No
377,539,76,40,1,0,0,11,No
345,393,0,2,1,1,0,8,No
667,660,0,20,1,1,0,7,No
347,610,44,14,1,1,2,14,No
340,378,27,9,1,1,0,12,No
1136,976,110,188,1,1,0,10,No
206,201,10,16,1,1,0,9,No
873,913,66,52,1,1,1,15,No
289,224,59,10,1,1,0,16,No
510,594,0,25,1,1,0,11,No
804,648,2,29,1,1,0,13,No
542,531,41,78,1,1,0,14,No
516,555,57,39,1,1,0,12,No
472,431,32,59,1,1,0,9,No
138,124,10,2,1,1,0,13,No
201,317,79,14,1,1,0,8,No
234,242,4,11,1,1,0,11,No
302,306,27,37,1,1,0,11,No
586,779,0,88,1,0,0,9,No
260,410,0,3,1,1,0,7,No
377,508,0,25,1,1,0,10,No
561,508,45,114,1,0,0,9,No
720,643,16,93,1,1,0,13,No
413,677,0,38,1,1,0,15,No
415,416,67,45,1,1,0,9,No
247,289,35,70,1,1,0,14,No
321,391,0,1,1,1,0,12,No
847,652,6,83,1,0,0,7,No
312,323,22,12,1,1,0,7,No
535,426,13,60,1,0,0,12,No
323,326,28,8,1,1,0,9,No
521,1282,0,156,1,1,0,13,No
258,286,24,5,1,1,0,9,No
306,329,128,11,1,1,0,9,No
256,307,6,12,1,1,0,11,No
346,303,14,16,1,0,0,11,No
300,267,15,22,1,0,0,10,No
230,230,8,2,1,1,0,12,No
516,538,10,20,1,1,0,14,No
257,254,76,26,1,1,0,7,No
334,411,40,21,1,0,0,16,No
195,396,27,31,1,1,0,14,No
740,940,53,483,1,1,0,9,No
340,343,0,8,1,1,0,11,No
404,461,0,1,1,0,0,15,No
197,320,0,9,1,1,0,10,No
474,410,74,33,1,1,0,14,No
213,153,19,209,1,1,0,8,No
936,706,35,61,1,1,1,16,No
207,196,0,7,1,1,0,11,No
77,92,0,0,1,1,0,10,No
453,528,24,75,1,1,0,15,No
293,339,12,92,1,1,0,10,No
473,497,8,16,1,1,0,12,No
379,436,7,56,1,1,0,12,No
642,776,85,236,1,1,4,15,No
350,393,26,19,1,1,0,8,No
167,184,33,10,1,1,2,10,No
301,444,81,60,1,1,0,6,No
536,504,74,134,1,1,0,15,No
374,311,0,23,1,1,0,10,No
342,343,50,56,1,1,2,6,No
673,587,41,11,1,1,0,11,No
426,486,60,110,1,0,0,12,No
593,923,13,34,1,1,0,9,No
313,280,0,13,1,0,0,15,No
292,447,0,47,1,1,0,10,No
95,106,0,0,1,1,0,7,No
186,217,14,5,1,0,0,12,No
275,602,43,25,1,1,0,8,No
96,174,0,1,0,1,0,15,No
322,1496,0,53,0,1,4,10,No
371,376,0,3,1,1,0,6,No
153,180,17,6,1,1,0,11,No
585,576,0,43,1,1,0,12,No
486,578,0,3,1,0,4,17,No
402,524,3,79,1,1,0,8,No
527,527,25,10,1,1,4,10,No
237,283,0,0,1,1,0,10,No
321,330,32,8,1,1,0,6,No
274,267,19,3,1,1,0,10,No
262,522,0,11,1,0,2,11,No
109,115,0,0,1,1,0,18,No
425,477,4,137,1,1,0,11,No
36,315,10,0,1,0,0,11,No
1206,962,0,141,1,1,0,11,No
156,199,42,2,1,0,0,11,No
284,361,45,41,1,1,0,19,No
225,446,0,53,1,0,0,11,No
346,390,14,8,1,1,0,9,No
339,378,61,1,1,1,0,15,No
760,577,20,15,1,0,0,9,No
218,221,10,8,1,1,0,15,No
319,328,23,6,1,1,0,11,No
507,493,59,25,1,1,0,12,No
562,691,18,21,1,1,0,12,No
524,510,0,18,1,1,0,9,No
252,579,0,0,1,1,0,14,No
181,199,0,3,0,1,1,21,No
182,188,19,24,1,1,0,7,No
777,582,22,29,1,0,0,13,No
257,281,17,11,1,1,0,8,No
109,104,22,20,1,0,0,13,No
127,142,0,6,1,1,0,13,No
611,412,139,12,1,1,0,13,No
136,365,0,19,1,1,0,14,No
264,265,34,4,1,1,0,10,No
447,387,12,31,1,1,0,12,No
225,256,0,1,1,1,0,10,No
278,672,25,21,1,1,0,15,No
152,221,0,117,1,0,0,11,No
616,718,0,35,1,1,0,12,No
357,369,65,6,1,1,0,11,No
38,158,0,1,0,1,0,14,No
199,197,74,6,1,0,0,10,No
452,385,49,172,1,0,0,6,No
265,312,93,53,1,1,0,9,No
485,510,115,24,1,1,0,13,No
247,236,1,12,1,1,0,12,No
696,769,30,11,1,0,3,16,No
342,286,35,18,1,1,0,13,No
189,272,0,8,1,1,0,12,No
487,788,44,43,1,1,0,8,No
68,75,0,17,1,0,0,15,No
354,363,10,40,1,0,0,11,No
334,499,34,30,1,1,0,12,No
304,321,32,23,1,1,0,11,No
226,248,42,19,1,0,0,6,No
265,319,21,58,1,1,0,11,No
527,498,40,42,1,1,1,11,No
327,524,0,24,1,1,0,13,No
173,195,4,0,1,1,0,14,No
254,907,0,34,1,1,0,13,No
233,280,0,23,1,0,0,7,No
210,220,0,1,1,1,0,10,No
651,722,51,136,1,1,0,12,No
237,249,0,36,1,1,0,11,No
204,445,118,92,1,1,0,8,No
268,388,0,3,1,1,0,8,No
293,438,46,45,1,1,0,6,No
345,332,19,167,1,1,0,14,No
1725,1466,135,245,1,1,0,17,No
311,351,0,63,1,0,0,11,No
224,308,23,59,1,1,0,16,No
245,395,0,10,1,1,0,8,No
582,828,0,43,1,1,0,16,No
447,572,83,120,1,1,0,15,No
165,205,6,0,1,0,0,8,No
187,207,9,16,1,1,0,9,No
334,234,0,16,1,1,0,12,No
613,555,27,121,1,1,0,11,No
278,265,0,155,1,0,0,9,No
277,175,0,65,1,0,0,9,No
107,260,0,0,1,1,0,13,No
735,665,44,19,1,1,0,11,No
242,299,39,23,1,1,0,11,No
209,216,19,14,1,1,0,13,No
253,303,0,7,1,1,0,9,No
305,322,4,49,1,0,0,13,No
105,167,0,0,1,1,0,7,No
371,357,78,19,1,1,0,12,No
378,422,21,31,1,1,0,12,No
384,219,51,11,1,1,0,12,No
848,959,0,225,1,0,0,8,No
143,233,0,1,1,1,0,13,No
334,870,0,28,1,1,0,13,No
590,801,43,76,1,0,2,13,No
274,403,30,122,1,1,0,10,No
179,347,0,25,1,0,2,5,No
116,187,0,0,1,1,0,12,No
235,186,30,9,1,1,0,16,No
222,248,0,40,1,1,0,13,No
290,289,0,76,1,1,0,9,No
349,427,13,14,1,1,4,12,No
224,234,13,7,1,1,0,10,No
550,502,19,108,1,1,0,13,No
118,92,0,3,1,1,0,8,No
320,457,14,1,1,0,0,8,No
684,592,11,49,1,1,0,11,No
477,474,0,0,0,1,0,9,No
268,348,43,21,1,0,0,11,No
303,418,115,92,1,1,0,13,No
185,486,7,0,1,1,0,9,No
347,407,66,11,1,1,0,17,No
340,806,0,18,1,0,0,13,No
350,385,0,63,1,1,0,8,No
391,314,3,17,1,0,0,12,No
404,454,9,26,1,1,0,11,No
679,666,115,54,1,1,0,7,No
236,338,21,23,1,1,0,11,No
898,624,150,141,1,1,0,15,No
489,473,8,86,1,0,4,9,No
379,386,0,31,1,0,0,11,No
316,317,110,101,1,1,0,7,No
473,614,5,99,1,0,0,13,No
146,163,69,63,1,1,0,9,No
256,338,36,39,1,1,0,10,No
1035,828,0,24,1,0,0,10,No
326,654,146,155,1,1,0,8,No
342,371,43,15,1,1,0,11,No
531,686,0,41,1,1,0,9,No
488,569,0,34,1,1,0,9,No
1218,351,35,15,1,0,0,10,No
403,388,0,23,1,1,0,11,No
393,372,25,7,1,0,0,9,No
505,382,9,4,1,1,0,11,No
181,186,0,8,1,1,0,11,No
319,319,46,138,1,1,0,11,No
561,737,0,66,1,1,0,9,No
283,355,0,140,1,1,0,8,No
384,469,42,71,1,1,0,11,No
446,496,0,62,1,1,0,7,No
208,310,9,440,1,1,0,10,No
1123,1162,130,428,1,1,0,12,No
283,442,6,36,1,1,0,8,No
682,762,11,114,1,1,0,7,No
460,459,41,23,1,1,0,12,No
461,440,25,115,1,1,0,10,No
725,733,35,91,1,1,0,13,No
132,345,0,33,1,1,0,6,No
424,499,50,38,1,1,0,7,No
321,306,18,102,1,1,0,9,No
584,653,34,88,1,1,0,9,No
589,601,58,58,1,1,0,13,No
620,623,0,161,1,1,0,9,No
1500,1446,103,132,1,1,0,14,No
213,235,42,32,1,1,1,13,No
376,437,116,33,1,1,0,9,No
150,256,98,28,1,1,0,15,No
351,381,35,25,1,0,0,10,No
414,440,14,71,1,0,0,9,No
473,397,35,28,1,1,0,16,No
521,860,0,262,1,1,0,7,No
230,358,0,26,1,0,0,10,No
350,426,30,24,1,1,0,12,No
376,636,19,60,1,1,0,7,No
475,528,0,29,1,1,0,7,No
288,276,22,13,1,1,0,12,No
515,571,0,4,1,0,0,11,No
470,627,61,7,1,1,0,8,No
367,416,41,111,1,1,0,7,No
252,265,41,4,1,1,0,9,No
269,268,0,23,1,1,0,8,No
312,453,33,47,1,1,0,9,No
370,387,21,22,1,1,0,7,No
609,543,23,58,1,1,0,9,No
330,433,63,35,1,0,0,15,No
649,630,35,67,1,0,0,9,No
529,589,33,67,1,1,0,13,No
348,359,0,21,1,1,0,10,No
576,680,135,187,1,1,0,11,No
387,382,43,69,1,1,0,8,No
120,84,25,48,1,1,0,13,No
290,517,2,16,1,1,0,10,No
522,641,88,171,1,0,0,7,No
639,677,17,125,1,1,0,9,No
554,561,0,325,1,1,0,12,No
230,436,0,36,1,1,0,14,No
545,494,22,22,1,1,0,15,No
252,509,0,28,1,1,0,11,No
420,1097,22,29,1,1,0,10,No
2939,595,140,43,1,0,0,13,No
456,545,82,48,1,1,0,10,No
326,784,6,27,1,1,0,12,No
241,293,22,16,1,1,0,10,No
349,420,0,61,1,1,0,12,No
367,524,0,47,1,1,0,11,No
462,682,0,94,1,1,0,10,No
202,201,0,21,1,1,0,9,No
95,90,0,4,1,1,2,14,No
346,318,18,0,1,0,0,12,No
603,1233,7,588,1,1,0,7,No
386,482,32,48,1,1,0,7,No
219,99,87,79,1,0,0,18,No
99,227,0,117,1,1,0,17,No
417,375,6,25,1,1,0,10,No
266,248,33,12,1,0,0,11,No
592,108,35,117,1,0,0,9,No
308,423,0,101,1,1,2,14,No
261,102,0,142,1,0,0,8,No
571,755,4,16,1,1,0,10,No
311,406,0,11,1,1,0,9,No
115,143,0,15,1,1,0,7,No
623,579,146,83,1,0,0,14,No
473,794,0,4,1,1,0,8,No
575,537,27,44,1,1,0,14,No
399,826,54,70,1,1,0,13,No
119,116,0,2,1,1,0,15,No
260,344,0,99,1,1,0,14,No
436,348,57,33,1,0,0,11,No
917,591,37,48,1,1,0,8,No
153,367,9,72,1,0,0,13,No
676,701,0,249,1,1,0,11,No
369,430,60,14,1,1,0,14,No
373,1477,90,25,1,0,0,14,No
429,449,0,1,1,0,4,9,No
234,196,146,66,1,1,2,8,No
481,452,93,163,1,0,0,10,No
337,296,7,65,1,0,0,13,No
208,571,0,11,1,0,0,8,No
873,4935,22,30,1,0,0,9,No
194,219,14,33,1,1,0,15,No
371,442,0,9,1,1,0,16,No
83,252,0,40,1,1,0,12,No
22,28,0,0,0,1,0,15,No
244,263,0,82,1,1,0,11,No
134,365,7,59,1,1,0,11,No
349,352,15,44,1,1,4,21,No
427,509,26,0,1,1,0,12,No
60,108,0,49,1,1,1,14,No
249,171,0,56,1,1,0,8,No
378,578,9,61,1,1,0,7,No
92,196,3,5,1,1,0,12,No
221,224,0,39,1,0,0,14,No
66,61,20,0,1,0,0,12,No
462,483,32,31,1,1,0,12,No
630,755,0,125,1,1,0,10,No
126,88,0,2,1,0,0,9,No
486,479,20,38,1,1,0,15,No
51,48,0,43,1,1,0,8,No
626,679,48,58,1,1,0,12,No
748,996,11,44,1,1,0,13,No
1058,614,23,52,1,0,0,12,No
633,661,19,31,1,1,0,10,No
207,201,131,75,1,1,2,12,No
200,257,20,3,1,1,0,11,No
216,268,40,10,1,1,1,10,No
911,343,76,411,1,0,0,7,No
199,209,107,49,1,1,0,10,No
658,604,8,27,1,1,0,7,No
409,504,32,3,1,1,0,20,No
158,209,0,5,1,1,0,7,No
872,772,0,174,1,0,0,11,No
203,250,53,131,1,1,0,8,No
93,51,0,1,1,1,0,10,No
66,84,0,1,1,1,0,10,No
422,377,18,17,1,0,0,13,No
106,115,0,8,1,1,0,8,No
238,100,10,100,1,1,0,11,No
325,523,0,84,1,1,0,17,No
278,458,42,85,1,1,0,14,No
1817,758,2,115,1,1,0,14,No
70,78,0,9,1,0,0,20,No
788,664,24,383,1,0,0,11,No
522,856,139,216,1,0,0,11,No
88,146,34,6,1,0,0,8,No
427,407,45,124,1,1,0,8,No
150,149,77,22,1,0,0,13,No
1099,584,0,124,1,1,0,11,No
504,465,0,74,1,1,2,11,No
83,119,39,5,1,1,0,12,No
715,598,66,210,1,0,0,7,No
226,261,0,20,1,1,0,13,No
393,463,0,165,1,1,0,8,No
261,299,119,8,1,0,0,10,No
421,424,15,124,1,1,0,6,No
114,115,24,21,1,1,0,6,No
200,224,71,17,1,1,0,12,No
260,349,0,26,1,0,0,12,No
227,342,49,128,1,1,0,9,No
481,531,16,9,1,1,0,12,No
272,918,0,1,1,0,0,7,No
438,339,32,12,1,1,0,13,No
772,669,22,79,1,0,0,8,No
217,198,3,0,1,1,0,17,No
654,679,33,24,1,0,0,8,No
336,598,0,223,1,1,0,8,No
210,367,0,114,1,1,0,8,No
269,127,148,146,1,1,0,13,No
239,324,106,29,1,1,0,10,No
365,627,12,107,1,0,0,7,No
218,316,16,438,1,1,0,10,No
323,373,40,10,1,1,0,14,No
249,234,19,17,1,1,0,9,No
245,423,0,74,1,1,0,10,No
508,723,33,154,1,1,0,11,No
304,298,32,1,1,1,4,17,No
3257,3511,136,113,1,0,0,8,No
420,417,43,6,1,1,0,11,No
209,257,10,52,1,1,0,12,No
1669,996,127,107,1,1,2,13,No
81,52,0,4,1,1,0,15,No
415,439,0,13,1,1,0,11,No
129,152,0,0,1,1,0,14,No
165,181,0,85,1,1,0,13,No
273,297,19,0,1,1,0,15,No
338,330,41,17,1,0,0,12,No
225,446,0,53,1,0,0,11,No
449,410,19,19,1,1,0,8,No
594,863,105,276,1,1,0,9,No
679,764,23,39,1,1,0,11,No
569,539,41,95,1,1,0,11,No
540,543,0,73,1,1,0,12,No
441,368,25,30,1,1,0,8,No
570,455,37,120,1,1,0,10,No
367,1114,16,69,1,0,0,8,No
634,648,59,21,1,0,0,9,No
687,539,18,78,1,0,0,9,No
160,169,9,8,1,1,0,10,No
566,464,32,65,1,1,0,9,No
113,148,0,9,1,1,0,10,No
670,547,52,68,1,1,0,12,No
501,465,18,4,1,1,0,10,No
369,396,0,5,1,1,0,12,No
363,355,41,17,1,1,0,11,No
218,255,0,2,1,1,0,9,No
446,489,29,46,1,1,0,10,No
404,392,25,23,1,1,0,14,No
426,486,60,110,1,0,0,12,No
207,201,131,75,1,1,2,12,No
200,229,17,4,1,1,2,10,No
606,722,44,56,1,1,0,9,No
191,280,9,4,1,1,0,15,No
414,440,14,71,1,0,0,9,No
698,705,0,32,1,1,0,7,No
510,669,33,31,1,1,0,11,No
233,242,43,9,1,1,0,14,No
361,358,18,75,1,0,0,9,No
200,204,0,60,1,1,2,16,No
222,185,0,22,1,1,0,6,No
148,196,0,7,1,1,0,12,No
274,309,0,2,1,1,0,12,No
209,240,0,0,1,0,0,6,No
301,477,20,6,1,1,0,12,No
116,162,39,11,1,1,0,11,No
207,196,0,7,1,1,0,11,No
199,272,18,36,1,1,0,8,No
289,451,0,76,1,1,0,13,No
513,520,49,37,1,0,0,10,No
105,174,0,0,1,1,0,11,No
695,635,25,21,1,0,0,9,No
540,604,0,16,1,1,0,16,No
337,482,0,7,1,1,0,14,No
625,703,48,34,1,1,0,8,No
175,313,11,4,1,0,0,7,No
358,315,26,33,1,1,0,6,No
616,564,37,26,1,0,0,10,No
600,719,50,181,1,1,0,12,No
236,226,12,12,1,1,0,7,No
325,335,0,50,1,1,0,14,No
384,410,0,48,1,1,1,13,No
256,308,8,6,1,1,0,17,No
113,112,0,14,1,1,0,10,No
81,142,0,8,1,1,2,7,No
380,500,38,19,1,1,0,9,No
270,493,0,0,1,0,0,13,No
427,981,20,95,1,1,2,13,No
386,482,32,48,1,1,0,7,No
65,67,79,116,1,0,0,8,No
315,363,26,0,1,0,0,8,No
69,100,0,5,1,1,0,9,No
339,476,56,33,1,1,0,8,No
156,199,42,2,1,0,0,11,No
288,304,45,5,1,1,0,11,No
101,109,0,2,1,1,3,17,No
358,336,0,9,1,0,0,13,No
467,519,13,16,1,1,0,17,No
318,306,51,13,1,0,0,11,No
352,575,6,88,1,1,0,13,No
256,344,34,53,1,1,0,12,No
228,320,17,20,1,1,0,11,No
257,252,0,25,1,0,0,12,No
240,492,78,12,1,1,0,13,No
203,256,0,1,1,1,0,7,No
79,80,7,2,1,1,0,11,No
431,463,21,42,1,1,0,10,No
217,266,11,13,1,1,0,13,No
423,523,0,114,1,1,0,11,No
142,224,0,8,1,0,0,7,No
432,410,25,26,1,1,0,10,No
310,357,23,44,1,1,0,10,No
333,358,35,23,1,1,0,18,No
202,201,0,21,1,1,0,9,No
421,565,30,44,1,1,0,6,No
449,481,34,45,1,1,2,10,No
318,318,8,9,1,1,0,10,No
371,370,29,10,1,1,0,14,No
262,265,19,22,1,1,0,11,No
588,497,0,13,1,1,0,12,No
636,632,16,111,1,0,0,5,No
266,257,44,105,1,1,0,11,No
204,126,0,393,1,0,0,14,No
514,573,19,216,1,0,2,15,No
450,708,52,58,1,1,0,10,No
406,478,0,76,1,1,0,12,No
397,371,0,298,1,1,0,6,No
1078,179,0,131,1,0,2,15,No
523,396,30,52,1,1,0,11,No
255,246,0,12,1,1,0,12,No
87,95,24,11,1,1,0,17,No
